StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q389_Browser,Q389_Version,Q389_Operating System,Q389_Resolution,Consent timing_First Click,Consent timing_Last Click,Consent timing_Page Submit,Consent timing_Click Count,Consent,prolific_id,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q118_First Click,Q118_Last Click,Q118_Page Submit,Q118_Click Count,Q110,Q160,Q163,Q165,Q178,Q164,Q179,Q608_First Click,Q608_Last Click,Q608_Page Submit,Q608_Click Count,Q609,Tutorial,Q613,Q653_First Click,Q653_Last Click,Q653_Page Submit,Q653_Click Count,Q655,Q192_First Click,Q192_Last Click,Q192_Page Submit,Q192_Click Count,Q657,Q614_First Click,Q614_Last Click,Q614_Page Submit,Q614_Click Count,Q615,Q193_First Click,Q193_Last Click,Q193_Page Submit,Q193_Click Count,Q171,Q593_First Click,Q593_Last Click,Q593_Page Submit,Q593_Click Count,Q594,Q175,Q197_First Click,Q197_Last Click,Q197_Page Submit,Q197_Click Count,Q196,Demographics timing_First Click,Demographics timing_Last Click,Demographics timing_Page Submit,Demographics timing_Click Count,age,gender,country,country_3_TEXT,education,education_6_TEXT,ai,AI_1,AI_2,AI_3,AI_4,AI_5,comments,Q261,Random_ID,AWSURL,group,ProlificID,agent_level,bonus_group
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Thank you for participating in this study. It will include decision-making tasks followed by some questions about yourself.


 

Estimated study time: 30 minutes. 
Your responses are confidential. Whatever information you convey in this study will be anonymized and will not be traced back to you.



Please read all the instructions and information very carefully.

If you have any questions, you may contact Matan Solomon: ma.solomon@campus.technion.ac.il


 

HEADS UP

Achieving high performance can qualify you for bonus payments of up to 1 pound.



Notice: After choosing one of the options below, click on the blue arrow at the bottom right side of the screen.",Please record your participant ID in prolific academic:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Avatar View:

 

The avatar's view is limited, and it can only see what is in front of it and 3 blocks to each side; out-of-view cells appear darker.

Example images:






 
By turning, the view will also change and let the avatar see different parts of the grid 


 
When the avatar is facing a ball, like we see in the upper example, it can collect the ball using the Key ‘1’. There is no limit to the number of balls the avatar can collect.",Q160,Reward?,Q165,Reward?,Q164,Reward?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"-------- Practice time - Getting familiar with the Environment  --------

In the first part of the game, you will control the avatar using your keyboard:

Up arrow (↑) – Move forward

Left arrow (←)  Turn the avatar to ITS left

Right arrow (→)  Turn the avatar to ITS right

Key ‘1’ – Pick up a ball directly in front of the avatar


To get a better understanding of the environment and the game, you will play the game yourself.
In the link below, you need to play at least 3 rounds of the game.




HEADS UP

After 3 rounds, a green button will appear below. Press it to finish the tutorial and receive the completion number to continue the survey. 

Good luck!","Notice: When planning your movement, feel free to take your time.The score is dependent only on the","You are now ready to proceed to the main task!

Good luck!",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Instructions:

 
In this section, an AI agent will control the avatar in the game for five rounds.

The agent is imperfect—it may make mistakes or choose suboptimal actions.

Your task is to train the agent to improve its performance: the better it performs by the end of the five rounds, the greater your reward.

In each round, you will first observe the agent controlling the avatar. Afterwards, you will proceed to the Round Overview Page, where you can provide feedback by correcting the agent’s poor decisions.
 





 

Use the Previous and Next Action buttons to step through the agent’s most recent round, one action at a time. 

When you identify a poor action, click its label (e.g., “forward”) and select a better alternative.
You can only correct actions on the agent’s most recent path. For example, in the image above, the correction would be ""turn right"" to avoid the lava.

 
Correct the agent on each mistake it made along the path—the more corrections you provide, the better the training will be.

 



If you revise the same action more than once, only your final selection will take effect.

 

After selecting a correction, it will be highlighted with a blue background, and a white symbol will appear on the avatar to indicate the newly selected action. 

In this example, we want to tell the agent not to step into the lava, so we selected the ‘turn right’ action instead, toward the blue ball.




 

 

	When you finish submitting your feedback, click Update Agent to help the agent learn from your corrections and adjust its strategy.


If you believe the agent’s actions in the round were already optimal, click Next Round to continue without updating the agent.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Main Task



The following link will open the task in a new browser tab - link



To continue, enter below the confirmation number you got at the end of the task:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Instructions:

 
In this section, an AI agent will control the avatar in the game for five rounds.

The agent is imperfect—it may make mistakes or choose suboptimal actions.

Your task is to train the agent to improve its performance: the better it performs by the end of the five rounds, the greater your reward.

In each round, you will first observe the agent controlling the avatar. Afterwards, you will proceed to the Round Overview Page, where you can provide feedback by correcting the agent’s poor decisions.
 



 

Use the Previous and Next Action buttons to step through the agent’s most recent round, one action at a time. 

When you identify a poor action, click its label (e.g., “forward”) and select a better alternative.
You can only correct actions on the agent’s most recent path. For example, in the image above, the correction would be ""turn right"" to avoid the lava.

 
Correct the agent on each mistake it made along the path—the more corrections you provide, the better the training will be.

 



If you revise the same action more than once, only your final selection will take effect.

 

After selecting a correction, it will be highlighted with a blue background, and a white symbol will appear on the avatar to indicate the newly selected action. 

In this example, we want to tell the agent not to step into the lava, so we selected the ‘turn right’ action instead, toward the blue ball.




 

 

	When you finish submitting your feedback, click Update Agent to help the agent learn from your corrections and adjust its strategy.


If you believe the agent’s actions in the round were already optimal, click Next Round to continue without updating the agent.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Main Task



The following link will open the game in a new browser tab  - link



to continue, enter below the confirmation number you got at the end of the task:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Final Part
The bonus for this survey will be proportional to the success of the avatar in the next game round.

Would you like to let the trained agent (after completing the five training rounds) control the avatar and finish the survey, 
or would you prefer to control the avatar yourself?",Please briefly explain your choice:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The following link will open the game in a new browser tab  - link

Paste your confirmation code here:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Age:,Gender identity:,In which country do you reside? - Selected Choice,In which country do you reside? - Other - Text,Years of education: - Selected Choice,Years of education: - Other: - Text,How familiar are you with Artificial Intelligence?,Please state your agreement with the following sentences regarding Artificial Intelligence (AI): - I believe AI will improve my life.,Please state your agreement with the following sentences regarding Artificial Intelligence (AI): - I believe that AI will improve my work.,Please state your agreement with the following sentences regarding Artificial Intelligence (AI): - I think I will use AI technology in the future.,Please state your agreement with the following sentences regarding Artificial Intelligence (AI): - I think AI technology is a threat to humans.,Please state your agreement with the following sentences regarding Artificial Intelligence (AI): - I think AI technology is positive for humanity.,"Thank you for your participation.
Please share any thoughts or comments about this study in the space below.",Click the next button to complete the survey.,Random_ID,AWSURL,group,ProlificID,agent_level,bonus_group
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID520_BROWSER""}","{""ImportId"":""QID520_VERSION""}","{""ImportId"":""QID520_OS""}","{""ImportId"":""QID520_RESOLUTION""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID574_TEXT""}","{""ImportId"":""QID431_FIRST_CLICK""}","{""ImportId"":""QID431_LAST_CLICK""}","{""ImportId"":""QID431_PAGE_SUBMIT""}","{""ImportId"":""QID431_CLICK_COUNT""}","{""ImportId"":""QID591_FIRST_CLICK""}","{""ImportId"":""QID591_LAST_CLICK""}","{""ImportId"":""QID591_PAGE_SUBMIT""}","{""ImportId"":""QID591_CLICK_COUNT""}","{""ImportId"":""QID583""}","{""ImportId"":""QID633""}","{""ImportId"":""QID636""}","{""ImportId"":""QID638""}","{""ImportId"":""QID651""}","{""ImportId"":""QID637""}","{""ImportId"":""QID652""}","{""ImportId"":""QID608_FIRST_CLICK""}","{""ImportId"":""QID608_LAST_CLICK""}","{""ImportId"":""QID608_PAGE_SUBMIT""}","{""ImportId"":""QID608_CLICK_COUNT""}","{""ImportId"":""QID609""}","{""ImportId"":""QID610_TEXT""}","{""ImportId"":""QID613""}","{""ImportId"":""QID653_FIRST_CLICK""}","{""ImportId"":""QID653_LAST_CLICK""}","{""ImportId"":""QID653_PAGE_SUBMIT""}","{""ImportId"":""QID653_CLICK_COUNT""}","{""ImportId"":""QID655""}","{""ImportId"":""QID665_FIRST_CLICK""}","{""ImportId"":""QID665_LAST_CLICK""}","{""ImportId"":""QID665_PAGE_SUBMIT""}","{""ImportId"":""QID665_CLICK_COUNT""}","{""ImportId"":""QID657_TEXT""}","{""ImportId"":""QID614_FIRST_CLICK""}","{""ImportId"":""QID614_LAST_CLICK""}","{""ImportId"":""QID614_PAGE_SUBMIT""}","{""ImportId"":""QID614_CLICK_COUNT""}","{""ImportId"":""QID615""}","{""ImportId"":""QID666_FIRST_CLICK""}","{""ImportId"":""QID666_LAST_CLICK""}","{""ImportId"":""QID666_PAGE_SUBMIT""}","{""ImportId"":""QID666_CLICK_COUNT""}","{""ImportId"":""QID644_TEXT""}","{""ImportId"":""QID593_FIRST_CLICK""}","{""ImportId"":""QID593_LAST_CLICK""}","{""ImportId"":""QID593_PAGE_SUBMIT""}","{""ImportId"":""QID593_CLICK_COUNT""}","{""ImportId"":""QID594""}","{""ImportId"":""QID648_TEXT""}","{""ImportId"":""QID670_FIRST_CLICK""}","{""ImportId"":""QID670_LAST_CLICK""}","{""ImportId"":""QID670_PAGE_SUBMIT""}","{""ImportId"":""QID670_CLICK_COUNT""}","{""ImportId"":""QID669_TEXT""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID281""}","{""ImportId"":""QID281_3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_6_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID626_1""}","{""ImportId"":""QID626_2""}","{""ImportId"":""QID626_3""}","{""ImportId"":""QID626_4""}","{""ImportId"":""QID626_5""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID392""}","{""ImportId"":""Random_ID""}","{""ImportId"":""AWSURL""}","{""ImportId"":""group""}","{""ImportId"":""ProlificID""}","{""ImportId"":""agent_level""}","{""ImportId"":""bonus_group""}"
2025-08-14 04:27:13,2025-08-14 04:38:40,IP Address,77.137.74.133,100,687,True,2025-08-14 04:38:41,R_4dLS7FCZKMisndv,,,,,32.1678,34.8205,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,3.25,3.25,5.191,1,I confirm my participation in the study,FinalCheck11111111111111111111111111,0,0,2.083,0,0,0,1.729,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,2.013,4.148,49.904,3,,4242,,,,,,,,,,,,0,0,2.244,0,,1.929,343.699,347.415,5,APPL3,4.264,4.264,5.709,1,I will play myself,,1.448,53.75,57.959,2,2321,5.989,14.615,15.264,11,45,F,Australia,,Bachelor level academic education,,"Somewhat familiar (some knowledge, e.g., from a course or self-study)",5,5,4. Neither agree nor disagree,6,2,,,1068049603,,2,FinalCheck11111111111111111111111111,APPL3,2321
2025-08-14 07:26:03,2025-08-14 07:41:54,IP Address,68.61.31.195,100,950,True,2025-08-14 07:41:55,R_3to65KqYhrjDaiR,,,,,42.9285,-83.6332,anonymous,EN,Chrome,138.0.0.0,Windows NT 10.0,1536x864,6.14,6.14,7.864,1,I confirm my participation in the study,662bfe3478204b677cc2ad6b,0,0,32.095,0,0,0,6.005,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,7.465,221.337,224.658,5,,4242,,,,,,,,,,,,0,0,6.318,0,,4.095,395.39,398.32,2,APPL1,2.998,12.494,23.311,2,I will let the AI agent play,I trust the avatar,,,,,,2.137,26.735,27.785,12,43,F,United states,,Bachelor level academic education,,"Somewhat familiar (some knowledge, e.g., from a course or self-study)",1. Strongly disagree,1. Strongly disagree,5,7. Strongly agree,4. Neither agree nor disagree,,,6764809362,,4,662bfe3478204b677cc2ad6b,APPL1,APPL1
2025-08-14 07:28:21,2025-08-14 07:46:12,IP Address,174.211.161.222,100,1071,True,2025-08-14 07:46:13,R_7PEVvDizElG118B,,,,,27.935,-82.3772,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1366x768,11.444,14.291,15.081,2,I confirm my participation in the study,66d88375799e00b593a8655f,20.762,69.171,84.57,5,21.242,32.73,33.457,2,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,16.141,216.093,216.764,4,,4242,,27.076,92.14,98.995,6,,11.257,341.786,346.721,2,APPL3,,,,,,,,,,,13.669,44.004,77.814,7,I will let the AI agent play,"Since i have updated the AI agent, i think it will perform the correct way to get the most points.",,,,,,0.899,37.395,38.083,18,49,F,United states,,8-12 years,,"Very familiar (frequent user or hobbyist, e.g., building AI models or applications)",7. Strongly agree,7. Strongly agree,7. Strongly agree,1. Strongly disagree,7. Strongly agree,,,4259641136,,0,66d88375799e00b593a8655f,APPL3,APPL3
2025-08-14 07:30:47,2025-08-14 07:47:47,IP Address,86.161.189.44,100,1019,True,2025-08-14 07:47:47,R_25FLSH5nxFy9nQy,,,,,52.3461,-2.0691,anonymous,EN,Edge,139.0.0.0,Windows NT 10.0,1920x1080,1.721,1.721,3.765,1,I confirm my participation in the study,67252ccdf91cf97c0989172d,326.158,326.158,327.456,1,5.21,5.21,9.229,1,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,11.37,149.019,150.198,4,,4242,,15.83,15.83,18.733,1,,2.812,340.439,343.093,3,APPL3,,,,,,,,,,,3.067,4.041,22.861,2,I will let the AI agent play,I think the AI is better than I am at this after training it.,,,,,,1.795,31.205,32.616,15,23,M,United Kingdom,,8-12 years,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",6,6,7. Strongly agree,3,5,,,2525717753,,0,67252ccdf91cf97c0989172d,APPL3,APPL3
2025-08-14 07:33:13,2025-08-14 07:51:56,IP Address,192.131.137.6,100,1122,True,2025-08-14 07:51:56,R_8KS897fMoWzvi1j,,,,,57.1386,-2.1761,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,8.403,8.403,13.632,1,I confirm my participation in the study,6762a1453b3bc252b8ea3bb8,0,0,93.674,0,9.766,9.766,18.755,1,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,47.13,134.129,136.87,2,,4242,,,,,,,,,,,,45.039,45.039,60.442,1,,3.883,450.672,452.638,2,APPL3,12.612,24.957,27.255,3,I will play myself,I think i would score more highly,2.373,47.375,48.898,2,2322,1.243,27.621,28.528,15,50,M,United Kingdom,,Bachelor level academic education,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",5,6,6,3,6,,,8705578221,,1,6762a1453b3bc252b8ea3bb8,APPL3,2322
2025-08-14 07:37:20,2025-08-14 07:52:29,IP Address,86.169.244.1,100,909,True,2025-08-14 07:52:30,R_2EmYyuDlhWRVYZi,,,,,51.5054,-3.5794,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,10.919,10.919,12.572,1,I confirm my participation in the study,65c242831388550b0a42bd25,39.59,39.59,41.298,1,19.23,19.23,21.559,1,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,65.409,249.445,250.814,4,,4242,,4.848,4.848,7.27,1,,3.715,256.757,263.707,2,APPL1,,,,,,,,,,,2.357,4.049,24.322,2,I will play myself,Don't feel I was able to update the instructions adequately,2.141,114.489,117.091,2,2322,1.905,29.784,30.732,14,47,F,United Kingdom,,Master level academic education,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",4. Neither agree nor disagree,4. Neither agree nor disagree,5,4. Neither agree nor disagree,4. Neither agree nor disagree,,,8970739669,,0,65c242831388550b0a42bd25,APPL1,2322
2025-08-14 07:35:19,2025-08-14 07:55:43,IP Address,2.100.167.138,100,1223,True,2025-08-14 07:55:43,R_8iePpDIHnniXiUv,,,,,50.82,-1.0664,anonymous,EN,Chrome,139.0.0.0,Windows NT 10.0,1920x1080,11.532,11.532,17.932,1,I confirm my participation in the study,67e282f63445e665072a9861,0,0,91.44,0,0,0,23.275,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,27.548,409.154,411.361,2,,4242,,0,0,80.956,0,,6.057,351.694,354.701,3,APPL3,,,,,,,,,,,13.21,14.251,40.08,2,I will play myself,Although I trust the AI agent up to a point it might still make a mistake whereas I trust myself to do a better job,3.073,62.778,64.902,3,2323,1.252,35.404,36.492,11,53,M,United Kingdom,,8-12 years,,"Moderately familiar (practical experience, e.g., using AI-powered tools or assistants)",5,5,5,4. Neither agree nor disagree,5,,,5644121842,,0,67e282f63445e665072a9861,APPL3,2323
2025-08-14 07:32:59,2025-08-14 07:57:45,IP Address,81.152.88.76,100,1486,True,2025-08-14 07:57:46,R_2saUTsC37ADo4Do,,,,,53.5516,-2.2049,anonymous,EN,Edge,139.0.0.0,Windows NT 10.0,1280x720,5.958,72.724,76.313,2,I confirm my participation in the study,6786cd2f6379519962f2542c,113.41,113.41,158.8,1,0,0,52.29,0,,Turn Right,-0.1,Pickup,3.9,Turn Left,-0.1,33.145,289.506,291.526,2,,4242,,,,,,,,,,,,0,0,37.354,0,,3.043,475.69,477.152,2,APPL2,2.767,4.36,13.746,2,I will play myself,i feel in control then,6.456,65.242,66.556,2,2322,1.866,34.749,36.05,11,54,F,United Kingdom,,Bachelor level academic education,,"Somewhat familiar (some knowledge, e.g., from a course or self-study)",5,5,5,7. Strongly agree,1. Strongly disagree,,,3386535981,,4,6786cd2f6379519962f2542c,APPL2,2322
